"CODIGO"	"NOMBRE"	"EMBALSE"	"X"	"Y"	"DEMARC"	"CAUCE"	"GOOGLE"	"OPENSTREETMAP"	"WIKIDATA"	"PROVINCIA"	"CCAA"	"TIPO"	"COTA_CORON"	"ALT_CIMIEN"	"INFORME"
3190017	"ATANCE, EL"	"El Atance reservoir"	41,075332577	-2,78506228099997	"TAJO"	"RÍO SALADO"	"https://www.google.com/search?kgmid=/g/1217c8pr"	""	"https://www.wikidata.org/wiki/Q6429110"	"Guadalajara"	"Castilla - La Mancha"	"Presa de fábrica de gravedad (hormigón compactado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=753"
8460004	"FORATA"	"Forata reservoir"	39,340702734	-0,86476747599994	"JUCAR"	"RÍO MAGRO"	"https://www.google.com/search?kgmid=/g/1238s588"	""	"https://www.wikidata.org/wiki/Q8775337"	"València/Valencia"	"Comunitat Valenciana"	"Presa de fábrica de gravedad (hormigón vibrado)"	389,199999999999	68,4	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2301"
3280046	"PINILLA, LA"	"Pinilla Reservoir"	40,944954572	-3,77411887299996	"TAJO"	"RÍO LOZOYA"	"https://www.google.com/search?kgmid=/g/12333j1q"	""	"https://www.wikidata.org/wiki/Q8775372"	"Madrid"	"Comunidad de Madrid"	"Presa de fábrica de gravedad (hormigón vibrado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=823"
1330010	"ARBON"	"ARBON"	43,4770926850001	-6,73016840999998	"CANTABRICO OCCIDENTAL"	"RÍO NAVIA"	""	""	""	"Asturias"	"Principado de Asturias"	"Presa de materiales sueltos zonificada o de núcleo"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=140"
1320015	"CONCHAS, LAS"	"CONCHAS, LAS"	41,944252453	-8,03492920899993	"MIÑO-SIL"	"RÍO LIMIA"	""	""	""	"Ourense"	"Galicia"	"Presa de fábrica de gravedad (hormigón vibrado)"	551	48	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=100"
9010018	"URRUNAGA"	"Urrunaga Reservoir"	42,957875626	-2,65412456499996	"EBRO"	"SANTA ENGRACIA ITSASADAR"	"https://www.google.com/search?kgmid=/g/11cn8xwy6q"	"https://www.openstreetmap.org/relation/27568787"	"https://www.wikidata.org/wiki/Q20894837"	"Araba/Álava"	"País Vasco"	"Presa de fábrica de contrafuertes"	548	31	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2379"
9010019	"URRUNAGA"	"Urrunaga Reservoir"	42,963849521	-2,63778333499994	"EBRO"	""	"https://www.google.com/search?kgmid=/g/11cn8xwy6q"	"https://www.openstreetmap.org/relation/27568787"	"https://www.wikidata.org/wiki/Q20894837"	"Araba/Álava"	"País Vasco"	"Presa de fábrica de contrafuertes"	548,5	13,5	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2380"
6110002	"CHARCO REDONDO"	"Charco Redondo Reservoir"	36,2322004530001	-5,54416164299994	"CUENCAS MEDITERRANEAS ANDALUZAS"	"RÍO DE LAS CAÑAS O PALMONES"	""	""	"https://www.wikidata.org/wiki/Q5830606"	"Cádiz"	"Andalucía"	"Presa de materiales sueltos zonificada o de núcleo"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1939"
8460013	"LORIGUILLA"	"Loriguilla Reservoir"	39,6655252350001	-0,91324766799994	"JUCAR"	"RIO TURIA O GUADALAVIAR"	"https://www.google.com/search?kgmid=/g/120jr2sj"	""	"https://www.wikidata.org/wiki/Q8775356"	"València/Valencia"	"Comunitat Valenciana"	"Presa de fábrica de gravedad (hormigón vibrado)"	322,5	78,67	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2308"
5410131	"PUEBLA DE CAZALLA"	"PUEBLA DE CAZALLA"	37,1297715490001	-5,24330867699996	"GUADALQUIVIR"	"RÍO  CORBONES"	""	""	""	"Sevilla"	"Andalucía"	"Presa de fábrica de gravedad (hormigón compactado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1773"
2090010	"UZQUIZA"	"UZQUIZA"	42,304453472	-3,36854357999994	"DUERO"	"RÍO ARLANZÓN"	""	""	""	"Burgos"	"Castilla y León"	"Presa de materiales sueltos homogénea"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=259"
10250002	"LLOSA DEL CAVALL, LA"	"LLOSA DEL CAVALL, LA"	42,099721345	1,58281131400003	"CUENCAS INTERNAS DE CATALUÑA"	"RIU CARDENER"	""	""	""	"Lleida"	"Cataluña"	"Presa de fábrica de bóveda"	810,299999999999	122,299999999999	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2912"
9500023	"CASPE II"	"CASPE II"	41,1358789010001	0,000636272000065	"EBRO"	"RÍO GUADALOPE"	""	""	""	"Zaragoza"	"Aragón"	"Presa de materiales sueltos zonificada o de núcleo"	234	56	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2835"
3450011	"ROSARITO"	"Rosarito Reservoir"	40,110346936	-5,32378188799993	"TAJO"	"RÍO TIÉTAR"	"https://www.google.com/search?kgmid=/g/1hl3g_mwq"	""	"https://www.wikidata.org/wiki/Q10929672"	"Ávila"	"Castilla y León"	"Presa de fábrica de gravedad (hormigón vibrado)"	308,8	37,5	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=867"
